Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply
Coal, peat and oil shale;Crude, NGL and feedstocks;Electricity;Heat;Natural gas;Nuclear;Oil products;Renewables and waste;Total
303;328;9;0;62;0;70;48;820
285;335;15;0;67;0;31;49;782
229;359;34;0;71;0;-10;49;734
255;340;25;0;76;0;-20;50;727
346;350;-7;0;86;0;-24;55;806
287;365;13;0;91;0;-42;58;771
300;366;4;0;103;0;-42;61;792
321;378;-17;0;115;0;-37;61;820
272;438;-3;0;133;0;-93;65;812
373;492;-55;0;156;0;-115;69;919
280;407;-26;0;165;0;-48;74;852
237;369;-16;0;179;0;-9;77;838
194;382;-8;0;188;0;-34;81;803
167;391;2;0;186;0;-55;89;780
176;381;-2;0;194;0;-40;96;805
175;364;-7;0;194;0;-32;103;796
237;357;-31;0;195;0;-34;117;842
183;344;-10;0;194;0;-25;128;814
155;329;5;0;184;0;-19;136;791
229;340;-25;0;190;0;-24;138;849
195;329;-3;0;170;0;-14;152;829
168;316;5;0;171;0;-6;155;808
168;325;1;0;163;0;-42;156;770
159;307;-4;0;185;0;-13;181;816
135;280;5;0;155;0;-7;185;754
103;317;19;0;146;0;-53;191;723
133;302;4;0;139;0;-51;197;724
106;285;10;0;117;0;-44;206;681
76;305;21;0;121;0;-61;221;682
84;282;18;0;122;0;-35;227;698
64;306;16;0;116;0;-53;250;700
65;298;19;0;113;0;-45;247;697
37;320;21;1;107;0;-73;258;670
30;304;22;1;87;0;-71;270;643
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
249;0;-25;0;51;0;120;8;403
227;-2;-17;0;51;0;106;8;373
194;-3;-12;0;30;0;55;9;274
155;-3;-6;0;15;0;58;9;228
151;-4;-4;0;21;0;53;15;232
146;-6;-3;0;24;0;41;21;224
152;-7;-3;0;27;0;46;25;240
150;-8;-4;0;26;0;44;25;233
129;-4;-1;0;25;0;47;21;217
119;-2;-2;0;24;0;42;22;202
124;-5;-3;0;28;0;32;21;197
122;-5;-2;0;30;0;39;23;206
119;-6;-2;0;25;0;39;23;197
139;-6;-7;0;28;0;39;24;218
139;-8;-6;0;32;0;40;25;222
134;-9;-6;0;33;0;41;25;218
127;-10;-3;0;34;0;42;22;213
156;-14;-9;0;34;0;46;25;238
144;-11;-3;0;32;0;41;27;230
128;-15;0;0;22;0;39;30;204
164;-15;-12;0;24;0;39;36;236
170;-17;-13;0;21;0;39;35;236
159;-18;-8;0;23;0;40;36;231
185;-21;-13;0;23;0;41;40;255
178;-24;-10;0;18;0;41;39;242
163;-30;-3;0;16;0;42;41;229
179;-25;-7;0;18;0;43;44;251
178;-36;-10;0;17;0;43;47;239
